task,phase,nct_id,condition_terms,chapter_shipped,chapter_remapped,chapter_jaccard,char3_shipped,char3_remapped,char3_jaccard,full_shipped,full_remapped,full_jaccard,adjudication_note
outcome,Phase2,NCT00414310,Acute Myelogenous Leukemia; Myelodysplastic Syndrome,"C00-D49,Z00-Z99",C00-D49,0.5,"C90,C91,C95,D46,Z80,Z85","C92,D46",0.14285714285714285,"C90.11,C90.12,C91.01,C95.91,C95.92,D46.9,D46.C,D46.Z,Z80.6,Z85.6","C92.0,D46",0.0,
outcome,Phase3,NCT00598273,Anemia; Chronic Kidney Disease; Chronic Renal Failure,"C00-D49,D50-D89,I00-I99,N00-N99","D50-D89,N00-N99",0.5,"D46,D53,D61,D63,D64,I12,I13,N18","D64,N18",0.25,"D46.4,D53.0,D53.2,D53.9,D61.3,D61.9,D63.1,D64.9,I12.0,I12.9,I13.0,I13.11,I13.2,N18.1,N18.5,N18.9","D64.9,N18.9",0.125,
outcome,Phase3,NCT00869856,Anemia; Chronic Renal Insufficiency,"C00-D49,D50-D89,N00-N99,P00-P96,Q00-QA0","D50-D89,N00-N99",0.4,"D46,D53,D61,D64,N23,N25,N26,P96,Q60,Q61","D64,N03",0.09090909090909091,"D46.4,D53.0,D53.2,D53.9,D61.3,D61.9,D64.9,N23,N25.0,N26.9,P96.0,Q60.0,Q60.1,Q61.4","D64.9,N03",0.06666666666666667,
outcome,Phase2,NCT00610649,Depression,"F01-F99,P00-P96,Z00-Z99",F01-F99,0.3333333333333333,"F32,F53,P91,Z13",F32,0.25,"F32.A,F53.0,P91.4,Z13.31,Z13.32",F32.A,0.2,
mortality_rate_yn,Phase4,NCT03140631,Atrial Fibrillation; Catheter Ablation,"I00-I99,S00-T88",I00-I99,0.5,"I48,T82,T83","I46,I48",0.25,"I48.0,I48.11,I48.19,I48.20,I48.21,I48.91,T82.42XS,T82.524S,T82.534S,T83.020S,T83.022S,T83.030S,T83.032S","I46,I48.91",0.07142857142857142,
serious_adverse_rate_yn,Phase2,NCT00786682,Prostate Cancer,"C00-D49,Z00-Z99",C00-D49,0.5,"C61,D29,D40,Z12,Z15,Z80,Z85",C61,0.14285714285714285,"C61,D29.1,D40.0,Z12.5,Z15.03,Z80.42,Z85.46",C61,0.14285714285714285,
serious_adverse_rate_yn,Phase3,NCT00641537,Relapsing-Remitting Multiple Sclerosis,"G00-G99,K00-K95,M00-M99,Q00-QA0",G00-G99,0.25,"G12,G35,G93,K74,M34,Q85",G35,0.16666666666666666,"G12.21,G12.23,G35,G93.81,K74.1,M34.0,Q85.1",G35.A,0.0,
patient_dropout_rate_yn,Phase2,NCT01128192,Hyperglycemia,"E00-E89,R00-R99",R00-R99,0.5,"E08,E09,E10,E11,E13,R73",R73,0.16666666666666666,"E08.65,E09.65,E10.65,E11.65,E13.65,R73.9",R73.9,0.16666666666666666,
failure_reason,Phase2,NCT00034827,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Pancreatic Neoplasms",C00-D49,C00-D49,1.0,"C05,C10,C16,C17,C25,C44,C79,D02,D24,D48,D49","C18,C22,C25,D49",0.15384615384615385,"C05.2,C10.0,C16.0,C16.4,C17.0,C17.1,C17.2,C25.3,C44.501,C79.81,D02.20,D02.21,D02.22,D24.1,D24.2,D24.9,D48.60,D49.3","C18,C22.0,C25.9,D49.3",0.047619047619047616,
failure_reason,Phase2,NCT00072150,Metastatic Transitional Cell Cancer of the Renal Pelvis and Ureter; Recurrent Bladder Cancer; Recurrent Transitional Cell Cancer of the Renal Pelvis and Ureter; Recurrent Urethral Cancer; Stage III Bladder Cancer; Stage III Urethral Cancer; Stage IV Bladder Cancer; Stage IV Urethral Cancer; Transitional Cell Carcinoma of the Bladder; Ureter Cancer,C00-D49,"C00-D49,N00-N99,O00-O9A",0.3333333333333333,"C22,C4A,C67,C79,C7B,D30,D41","C66,C67,C79,N34,N37,O23",0.18181818181818182,"C22.0,C4A.0,C4A.31,C4A.51,C4A.8,C4A.9,C67.0,C67.1,C67.5,C67.9,C79.11,C7B.1,D30.3,D41.4","C66,C67,C79.0,C79.11,N34.0,N37,O23.13,O23.23",0.047619047619047616,
outcome,Phase1,NCT01852565,Atherosclerosis,I00-I99,I00-I99,1.0,"I25,I67,I70",I70,0.3333333333333333,"I25.83,I67.2,I70.0,I70.1,I70.8,I70.90,I70.91",I70,0.0,
patient_dropout_rate_yn,Phase2,NCT01145560,Septic Shock; Severe Sepsis,"R00-R99,S00-T88",R00-R99,0.5,"R65,T81",R65,0.5,"R65.20,R65.21,T81.12XA,T81.12XD,T81.12XS","R65.2,R65.21",0.16666666666666666,
patient_dropout_rate_yn,Phase4,NCT01308619,Rosacea,"H00-H59,L00-L99",L00-L99,0.5,"H10,L71",L71,0.5,"H10.821,H10.822,H10.823,H10.829,L71.8,L71.9",L71,0.0,
patient_dropout_rate_yn,Phase2,NCT00160251,Chronic Hepatitis C,"A00-B99,K00-K95",A00-B99,0.5,"B18,K71",B18,0.5,"B18.0,B18.1,B18.2,B18.8,B18.9,K71.3,K71.4",B18.2,0.14285714285714285,
patient_dropout_rate_yn,Phase4,NCT01907334,Asthma,J00-J99,J00-J99,1.0,"J45,J82",J45,0.5,"J45.20,J45.30,J45.40,J45.909,J45.991,J45.998,J82.83",J45,0.0,
patient_dropout_rate_yn,Phase4,NCT01834586,Multiple Sclerosis,"C00-D49,G00-G99",G00-G99,0.5,"C81,G35",G35,0.5,"C81.18,G35",G35,0.5,
serious_adverse_rate_yn,Phase3,NCT02576509,Hepatocellular Carcinoma,C00-D49,C00-D49,1.0,"C22,C4A,C7B",C22,0.3333333333333333,"C22.0,C4A.0,C4A.31,C4A.51,C4A.8,C4A.9,C7B.1",C22.0,0.14285714285714285,
serious_adverse_rate_yn,Phase2,NCT03420521,Carcinoid Tumor; Neuroendocrine Tumors,C00-D49,C00-D49,1.0,"C7A,C7B,D3A",C7A,0.3333333333333333,"C7A.00,C7A.010,C7A.011,C7A.012,C7A.020,C7A.021,C7A.026,C7A.1,C7A.8,C7B.8,D3A.8","C7A,C7A.0",0.0,
patient_dropout_rate_yn,Phase2,NCT02051296,Chronic Pain; Post-operative Pain,"G00-G99,R00-R99",G00-G99,0.5,"G89,R39",G89,0.5,"G89.21,G89.22,G89.28,G89.29,G89.3,G89.4,R39.82","G89.12,G89.4",0.125,
outcome,Phase2,NCT00080223,Idiopathic Pulmonary Fibrosis; Pulmonary Fibrosis,"E00-E89,J00-J99",J00-J99,0.5,"E84,J84",J84,0.5,"E84.0,J84.10,J84.112,J84.178","J84.10,J84.112",0.5,
patient_dropout_rate_yn,Phase2,NCT04693416,"Opioid Use; Opioid-use Disorder; Stigma, Social; Substance Use Disorders",F01-F99,F01-F99,1.0,"F11,F19","F11,F19,F40",0.6666666666666666,"F11.90,F11.94,F11.959,F11.981,F11.982,F11.988,F11.99,F19.94,F19.959,F19.96,F19.980,F19.982,F19.988,F19.99","F11,F11.9,F19,F40.1",0.0,
patient_dropout_rate_yn,Phase4,NCT00626210,Alzheimer Disease; Insomnia; Sleep Initiation and Maintenance Disorders,"A00-B99,F01-F99,G00-G99,V00-Y99",G00-G99,0.25,"A81,F51,G30,G47,Y93","G30,G47",0.4,"A81.83,F51.01,F51.02,F51.03,F51.04,G30.0,G30.1,G30.8,G30.9,G47.00,G47.09,Y93.E9,Y93.H9","G30,G47,G47.0",0.0,
outcome,Phase3,NCT00251459,Age-related Macular Degeneration; Choroidal Neovascularization,H00-H59,H00-H59,1.0,"H35,H44","H16,H35",0.3333333333333333,"H35.3110,H35.3120,H35.3130,H35.3131,H35.3132,H35.3190,H35.3211,H35.3230,H35.3231,H35.3232,H44.2A1,H44.2A2,H44.2A3,H44.2A9","H16.40,H35.30",0.0,
outcome,Phase3,NCT02869438,Asthma,J00-J99,J00-J99,1.0,"J45,J82",J45,0.5,"J45.20,J45.30,J45.40,J45.909,J45.991,J45.998,J82.83",J45,0.0,
patient_dropout_rate_yn,Phase3,NCT00147316,Brain Ischemia; Cerebral Infarction,I00-I99,I00-I99,1.0,"I63,I69","I63,I67",0.3333333333333333,"I63.89,I63.9,I69.320,I69.321,I69.322,I69.390,I69.391","I63,I67.82",0.0,
outcome,Phase2,NCT01668537,Smallpox,"A00-B99,S00-T88",A00-B99,0.5,"B03,T50",B03,0.5,"B03,T50.B13S,T50.B14S,T50.B15S,T50.B16A,T50.B16D,T50.B16S",B03,0.14285714285714285,
patient_dropout_rate_yn,Phase2,NCT00178841,Cutaneous T-cell Lymphoma; Mycosis Fungoides; Sezary Syndrome,"C00-D49,S00-T88",C00-D49,0.5,"C84,S33",C84,0.5,"C84.00,C84.02,C84.03,C84.06,C84.07,C84.08,C84.09,S33.110S,S33.111S,S33.120S,S33.121S,S33.130S,S33.131S,S33.140S","C84.0,C84.1,C84.A",0.0,
serious_adverse_rate_yn,Phase3,NCT02783729,Insomnia,"A00-B99,F01-F99,G00-G99",G00-G99,0.3333333333333333,"A81,F51,G47",G47,0.3333333333333333,"A81.83,F51.01,F51.02,F51.03,F51.04,G47.00,G47.09",G47.0,0.0,
mortality_rate_yn,Phase2,NCT04184271,Dental Caries,"K00-K95,Z00-Z99",K00-K95,0.5,"K02,Z91",K02,0.5,"K02.3,K02.7,K02.9,Z91.841,Z91.842,Z91.843,Z91.849",K02,0.0,
patient_dropout_rate_yn,Phase2,NCT00640328,Multiple Sclerosis,"C00-D49,G00-G99",G00-G99,0.5,"C81,G35",G35,0.5,"C81.18,G35",G35,0.5,
serious_adverse_rate_yn,Phase4,NCT02365961,Acetabular Labrum Tear; Femoroacetabular Impingement; Hip Dysplasia,M00-M99,"M00-M99,S00-T88",0.5,M16,"M16,M75,S32",0.3333333333333333,"M16.2,M16.30,M16.31,M16.32","M16.2,M75.4,S32.41",0.16666666666666666,
outcome,Phase3,NCT02725008,Asthma,J00-J99,J00-J99,1.0,"J45,J82",J45,0.5,"J45.20,J45.30,J45.40,J45.909,J45.991,J45.998,J82.83",J45,0.0,
patient_dropout_rate_yn,Phase3,NCT00791934,Sinusitis,J00-J99,J00-J99,1.0,"J01,J32",J01,0.5,"J01.80,J01.90,J32.0,J32.1,J32.2,J32.3,J32.8",J01.9,0.0,
outcome,Phase4,NCT02113436,Asthma,J00-J99,J00-J99,1.0,"J45,J82",J45,0.5,"J45.20,J45.30,J45.40,J45.909,J45.991,J45.998,J82.83",J45,0.0,
patient_dropout_rate_yn,Phase3,NCT01178281,MPN-associated Myelofibrosis; Primary Myelofibrosis,"C00-D49,D50-D89",D50-D89,0.5,"C94,D75",D75,0.5,"C94.40,C94.41,C94.42,D75.81",D75.81,0.25,
