method,task,phase,status
random_forest,outcome,Phase4,ok
random_forest,mortality_rate_yn,Phase1,ok
random_forest,mortality_rate_yn,Phase2,ok
random_forest,mortality_rate_yn,Phase3,ok
random_forest,mortality_rate_yn,Phase4,ok
random_forest,serious_adverse_rate_yn,Phase1,ok
random_forest,serious_adverse_rate_yn,Phase2,ok
random_forest,serious_adverse_rate_yn,Phase3,ok
random_forest,serious_adverse_rate_yn,Phase4,ok
random_forest,patient_dropout_rate_yn,Phase1,ok
random_forest,patient_dropout_rate_yn,Phase2,ok
random_forest,patient_dropout_rate_yn,Phase3,ok
random_forest,patient_dropout_rate_yn,Phase4,ok
random_forest,failure_reason,Phase1,ok
random_forest,failure_reason,Phase2,ok
random_forest,failure_reason,Phase3,ok
random_forest,failure_reason,Phase4,ok
extra_trees,outcome,Phase1,ok
extra_trees,outcome,Phase2,ok
extra_trees,outcome,Phase3,ok
extra_trees,outcome,Phase4,ok
extra_trees,mortality_rate_yn,Phase1,ok
extra_trees,mortality_rate_yn,Phase2,ok
extra_trees,mortality_rate_yn,Phase3,ok
extra_trees,mortality_rate_yn,Phase4,ok
extra_trees,serious_adverse_rate_yn,Phase1,ok
extra_trees,serious_adverse_rate_yn,Phase2,ok
extra_trees,serious_adverse_rate_yn,Phase3,ok
extra_trees,serious_adverse_rate_yn,Phase4,ok
extra_trees,patient_dropout_rate_yn,Phase1,ok
extra_trees,patient_dropout_rate_yn,Phase2,ok
extra_trees,patient_dropout_rate_yn,Phase3,ok
extra_trees,patient_dropout_rate_yn,Phase4,ok
extra_trees,failure_reason,Phase1,ok
extra_trees,failure_reason,Phase2,ok
extra_trees,failure_reason,Phase3,ok
extra_trees,failure_reason,Phase4,ok
hist_gbm,outcome,Phase1,ok
hist_gbm,outcome,Phase2,ok
hist_gbm,outcome,Phase3,ok
hist_gbm,outcome,Phase4,ok
hist_gbm,mortality_rate_yn,Phase1,ok
hist_gbm,mortality_rate_yn,Phase2,ok
hist_gbm,mortality_rate_yn,Phase3,ok
hist_gbm,mortality_rate_yn,Phase4,ok
hist_gbm,serious_adverse_rate_yn,Phase1,ok
hist_gbm,serious_adverse_rate_yn,Phase2,ok
hist_gbm,serious_adverse_rate_yn,Phase3,ok
hist_gbm,serious_adverse_rate_yn,Phase4,ok
hist_gbm,patient_dropout_rate_yn,Phase1,ok
hist_gbm,patient_dropout_rate_yn,Phase2,ok
hist_gbm,patient_dropout_rate_yn,Phase3,ok
hist_gbm,patient_dropout_rate_yn,Phase4,ok
hist_gbm,failure_reason,Phase1,ok
hist_gbm,failure_reason,Phase2,ok
hist_gbm,failure_reason,Phase3,ok
hist_gbm,failure_reason,Phase4,ok
xgboost,outcome,Phase1,ok
xgboost,outcome,Phase2,ok
xgboost,outcome,Phase3,ok
xgboost,outcome,Phase4,ok
xgboost,mortality_rate_yn,Phase1,ok
xgboost,mortality_rate_yn,Phase2,ok
xgboost,mortality_rate_yn,Phase3,ok
xgboost,mortality_rate_yn,Phase4,ok
xgboost,serious_adverse_rate_yn,Phase1,ok
xgboost,serious_adverse_rate_yn,Phase2,ok
xgboost,serious_adverse_rate_yn,Phase3,ok
xgboost,serious_adverse_rate_yn,Phase4,ok
xgboost,patient_dropout_rate_yn,Phase1,ok
xgboost,patient_dropout_rate_yn,Phase2,ok
xgboost,patient_dropout_rate_yn,Phase3,ok
xgboost,patient_dropout_rate_yn,Phase4,ok
xgboost,failure_reason,Phase1,ok
xgboost,failure_reason,Phase2,ok
xgboost,failure_reason,Phase3,ok
xgboost,failure_reason,Phase4,ok
lightgbm,outcome,Phase1,ok
lightgbm,outcome,Phase2,ok
lightgbm,outcome,Phase3,ok
lightgbm,outcome,Phase4,ok
lightgbm,mortality_rate_yn,Phase1,ok
lightgbm,mortality_rate_yn,Phase2,ok
lightgbm,mortality_rate_yn,Phase3,ok
lightgbm,mortality_rate_yn,Phase4,ok
lightgbm,serious_adverse_rate_yn,Phase1,ok
lightgbm,serious_adverse_rate_yn,Phase2,ok
lightgbm,serious_adverse_rate_yn,Phase3,ok
lightgbm,serious_adverse_rate_yn,Phase4,ok
lightgbm,patient_dropout_rate_yn,Phase1,ok
lightgbm,patient_dropout_rate_yn,Phase2,ok
lightgbm,patient_dropout_rate_yn,Phase3,ok
lightgbm,patient_dropout_rate_yn,Phase4,ok
lightgbm,failure_reason,Phase1,ok
lightgbm,failure_reason,Phase2,ok
lightgbm,failure_reason,Phase3,ok
lightgbm,failure_reason,Phase4,ok
catboost,outcome,Phase1,ok
catboost,outcome,Phase2,ok
catboost,outcome,Phase3,ok
catboost,outcome,Phase4,ok
catboost,mortality_rate_yn,Phase1,ok
catboost,mortality_rate_yn,Phase2,ok
catboost,mortality_rate_yn,Phase3,ok
catboost,mortality_rate_yn,Phase4,ok
catboost,serious_adverse_rate_yn,Phase1,ok
catboost,serious_adverse_rate_yn,Phase2,ok
catboost,serious_adverse_rate_yn,Phase3,ok
catboost,serious_adverse_rate_yn,Phase4,ok
catboost,patient_dropout_rate_yn,Phase1,ok
catboost,patient_dropout_rate_yn,Phase2,ok
catboost,patient_dropout_rate_yn,Phase3,ok
catboost,patient_dropout_rate_yn,Phase4,ok
catboost,failure_reason,Phase1,ok
catboost,failure_reason,Phase2,ok
catboost,failure_reason,Phase3,ok
catboost,failure_reason,Phase4,ok
tfidf_logreg,outcome,Phase1,ok
tfidf_logreg,outcome,Phase2,ok
tfidf_logreg,outcome,Phase3,ok
tfidf_logreg,outcome,Phase4,ok
tfidf_logreg,mortality_rate_yn,Phase1,ok
tfidf_logreg,mortality_rate_yn,Phase2,ok
tfidf_logreg,mortality_rate_yn,Phase3,ok
tfidf_logreg,mortality_rate_yn,Phase4,ok
tfidf_logreg,serious_adverse_rate_yn,Phase1,ok
tfidf_logreg,serious_adverse_rate_yn,Phase2,ok
tfidf_logreg,serious_adverse_rate_yn,Phase3,ok
tfidf_logreg,serious_adverse_rate_yn,Phase4,ok
tfidf_logreg,patient_dropout_rate_yn,Phase1,ok
tfidf_logreg,patient_dropout_rate_yn,Phase2,ok
tfidf_logreg,patient_dropout_rate_yn,Phase3,ok
tfidf_logreg,patient_dropout_rate_yn,Phase4,ok
tfidf_logreg,failure_reason,Phase1,ok
tfidf_logreg,failure_reason,Phase2,ok
tfidf_logreg,failure_reason,Phase3,ok
tfidf_logreg,failure_reason,Phase4,ok
ft_transformer,outcome,Phase1,ok
ft_transformer,outcome,Phase2,ok
ft_transformer,outcome,Phase3,ok
ft_transformer,outcome,Phase4,ok
ft_transformer,mortality_rate_yn,Phase1,ok
ft_transformer,mortality_rate_yn,Phase2,ok
ft_transformer,mortality_rate_yn,Phase3,ok
ft_transformer,mortality_rate_yn,Phase4,ok
ft_transformer,serious_adverse_rate_yn,Phase1,ok
ft_transformer,serious_adverse_rate_yn,Phase2,ok
ft_transformer,serious_adverse_rate_yn,Phase3,missing
ft_transformer,serious_adverse_rate_yn,Phase4,missing
ft_transformer,patient_dropout_rate_yn,Phase1,missing
ft_transformer,patient_dropout_rate_yn,Phase2,missing
ft_transformer,patient_dropout_rate_yn,Phase3,missing
ft_transformer,patient_dropout_rate_yn,Phase4,missing
ft_transformer,failure_reason,Phase1,missing
ft_transformer,failure_reason,Phase2,missing
ft_transformer,failure_reason,Phase3,missing
ft_transformer,failure_reason,Phase4,missing
tabnet,outcome,Phase1,ok
tabnet,outcome,Phase2,ok
tabnet,outcome,Phase3,ok
tabnet,outcome,Phase4,ok
tabnet,mortality_rate_yn,Phase1,ok
tabnet,mortality_rate_yn,Phase2,ok
tabnet,mortality_rate_yn,Phase3,ok
tabnet,mortality_rate_yn,Phase4,ok
tabnet,serious_adverse_rate_yn,Phase1,ok
tabnet,serious_adverse_rate_yn,Phase2,ok
tabnet,serious_adverse_rate_yn,Phase3,missing
tabnet,serious_adverse_rate_yn,Phase4,missing
tabnet,patient_dropout_rate_yn,Phase1,missing
tabnet,patient_dropout_rate_yn,Phase2,missing
tabnet,patient_dropout_rate_yn,Phase3,missing
tabnet,patient_dropout_rate_yn,Phase4,missing
tabnet,failure_reason,Phase1,missing
tabnet,failure_reason,Phase2,missing
tabnet,failure_reason,Phase3,missing
tabnet,failure_reason,Phase4,missing
clinical_embeddings,outcome,Phase1,ok
clinical_embeddings,outcome,Phase2,ok
clinical_embeddings,outcome,Phase3,ok
clinical_embeddings,outcome,Phase4,ok
clinical_embeddings,mortality_rate_yn,Phase1,ok
clinical_embeddings,mortality_rate_yn,Phase2,ok
clinical_embeddings,mortality_rate_yn,Phase3,ok
clinical_embeddings,mortality_rate_yn,Phase4,ok
clinical_embeddings,serious_adverse_rate_yn,Phase1,ok
clinical_embeddings,serious_adverse_rate_yn,Phase2,missing
clinical_embeddings,serious_adverse_rate_yn,Phase3,missing
clinical_embeddings,serious_adverse_rate_yn,Phase4,missing
clinical_embeddings,patient_dropout_rate_yn,Phase1,missing
clinical_embeddings,patient_dropout_rate_yn,Phase2,missing
clinical_embeddings,patient_dropout_rate_yn,Phase3,missing
clinical_embeddings,patient_dropout_rate_yn,Phase4,missing
clinical_embeddings,failure_reason,Phase1,missing
clinical_embeddings,failure_reason,Phase2,missing
clinical_embeddings,failure_reason,Phase3,missing
clinical_embeddings,failure_reason,Phase4,missing
tabpfn,outcome,Phase1,skipped
tabpfn,outcome,Phase2,skipped
tabpfn,outcome,Phase3,skipped
tabpfn,outcome,Phase4,skipped
tabpfn,mortality_rate_yn,Phase1,skipped
tabpfn,mortality_rate_yn,Phase2,skipped
tabpfn,mortality_rate_yn,Phase3,skipped
tabpfn,mortality_rate_yn,Phase4,skipped
tabpfn,serious_adverse_rate_yn,Phase1,skipped
tabpfn,serious_adverse_rate_yn,Phase2,skipped
tabpfn,serious_adverse_rate_yn,Phase3,missing
tabpfn,serious_adverse_rate_yn,Phase4,missing
tabpfn,patient_dropout_rate_yn,Phase1,missing
tabpfn,patient_dropout_rate_yn,Phase2,missing
tabpfn,patient_dropout_rate_yn,Phase3,missing
tabpfn,patient_dropout_rate_yn,Phase4,missing
tabpfn,failure_reason,Phase1,missing
tabpfn,failure_reason,Phase2,missing
tabpfn,failure_reason,Phase3,missing
tabpfn,failure_reason,Phase4,missing
