series,text_weight,test_prauc
Trial approval,0.57,0.7189638430922963
Trial approval,0.58,0.7175299525687305
Trial approval,0.59,0.7166489913978207
Trial approval,0.6,0.71549211005443
Trial approval,0.61,0.7146525429569194
Trial approval,0.62,0.7130658532203655
Trial approval,0.63,0.7117978896665396
Trial approval,0.64,0.7102380939272052
Trial approval,0.65,0.7089505480312621
Trial approval,0.66,0.7076963868042287
Trial approval,0.67,0.7064870333613765
Trial approval,0.68,0.7048308167756056
Trial approval,0.69,0.7035970521320863
Trial approval,0.7,0.7023315645829038
Trial approval,0.71,0.7010378993287489
Trial approval,0.72,0.6992893475227435
Trial approval,0.73,0.6978895375744011
Trial approval,0.74,0.6969715093789273
Trial approval,0.75,0.6960604216324573
Trial approval,0.76,0.6950100935680074
Trial approval,0.77,0.6934874191695063
Trial approval,0.78,0.6920304531132716
Trial approval,0.79,0.6906490731353168
Trial approval,0.8,0.6892554324486841
Trial approval,0.81,0.6878972814615915
Trial approval,0.82,0.6867541551661334
Trial approval,0.83,0.6853289094234595
Trial approval,0.84,0.6839031028200476
Trial approval,0.85,0.6817374251889187
Trial approval,0.86,0.6804594657482961
Trial approval,0.87,0.6792747600931782
Trial approval,0.88,0.6779065373261357
Trial approval,0.89,0.6763802512234687
Trial approval,0.9,0.675185638601913
Trial approval,0.91,0.6736630960630486
Trial approval,0.92,0.6724436424950588
Trial approval,0.93,0.6702581429399834
Trial approval,0.94,0.6688015495387909
Trial approval,0.95,0.6669070195075975
Trial approval,0.96,0.6654887076383547
Trial approval,0.97,0.6640726864444946
Trial approval,0.98,0.6607380409739577
Trial approval,0.99,0.6586032522185565
Trial approval,1.0,0.6571597089125123
Mortality,0.0,0.7954754241008258
Mortality,0.01,0.798902094470168
Mortality,0.02,0.8015466545640453
Mortality,0.03,0.80317462831843
Mortality,0.04,0.8072474473343867
Mortality,0.05,0.8097242881601263
Mortality,0.06,0.8139284813943795
Mortality,0.07,0.8156858742523887
Mortality,0.08,0.8185259917459314
Mortality,0.09,0.8213742728582271
Mortality,0.1,0.8231960091528587
Mortality,0.11,0.8255382764206777
Mortality,0.12,0.8272418063541824
Mortality,0.13,0.8289952466801327
Mortality,0.14,0.8319339606586847
Mortality,0.15,0.8337013177366971
Mortality,0.16,0.8356880933326457
Mortality,0.17,0.8376592107029058
Mortality,0.18,0.8402036383649584
Mortality,0.19,0.841558097105786
Mortality,0.2,0.8436636424332956
Mortality,0.21,0.8440058378954125
Mortality,0.22,0.8454671174509578
Mortality,0.23,0.847252366228025
Mortality,0.24,0.8499858105150976
Mortality,0.25,0.851879438104943
Mortality,0.26,0.8525595308465711
Mortality,0.27,0.8537441044229928
Mortality,0.28,0.855525363353271
Mortality,0.29,0.8569523021803689
Mortality,0.3,0.8592303316603217
Mortality,0.31,0.8599771647513974
Mortality,0.32,0.8618409455933613
Mortality,0.33,0.862631971891598
Mortality,0.34,0.8631638824272723
Mortality,0.35,0.8631023106970567
Mortality,0.36,0.8652185187462326
Mortality,0.37,0.8655418399031204
Mortality,0.38,0.8668233469533497
Mortality,0.39,0.8684419272187607
Mortality,0.4,0.8684743562088992
Mortality,0.41,0.8692829100074192
Mortality,0.42,0.871035523428377
Mortality,0.43,0.8728601725778562
Mortality,0.44,0.874028373918539
Mortality,0.45,0.8743173373673023
Mortality,0.46,0.8738630576453338
Mortality,0.47,0.8747502680702207
Mortality,0.48,0.875044604737132
Mortality,0.49,0.8751865588041392
Mortality,0.5,0.8757480773627458
Mortality,0.51,0.8766885945223923
Mortality,0.52,0.8766463887982072
Mortality,0.53,0.8773858113644784
Mortality,0.54,0.8781016445312377
Mortality,0.55,0.8788488903789825
Mortality,0.56,0.8793619814389938
Mortality,0.57,0.8797905899739022
Mortality,0.58,0.8787308503373876
Mortality,0.59,0.8784540819952096
Mortality,0.6,0.8786200515355851
Mortality,0.61,0.8777640630118912
Mortality,0.62,0.8780321661099576
Mortality,0.63,0.8780232430412661
Mortality,0.64,0.8772515881102089
Mortality,0.65,0.8769829231763817
Mortality,0.66,0.8766179878862168
Mortality,0.67,0.8762303055272496
Mortality,0.68,0.8760208605366891
Mortality,0.69,0.8761704650503638
Mortality,0.7,0.8759959890878465
Mortality,0.71,0.8760920813014013
Mortality,0.72,0.8749478362062166
Mortality,0.73,0.8750912675674527
Mortality,0.74,0.8744637259068273
Mortality,0.75,0.8737273895608465
Mortality,0.76,0.8736047486305886
Mortality,0.77,0.8737301771844461
Mortality,0.78,0.8741817386046958
Mortality,0.79,0.8730779166043792
Mortality,0.8,0.8730965859012038
Mortality,0.81,0.8722880835499901
Mortality,0.82,0.8715958948002714
Mortality,0.83,0.8704116490854551
Mortality,0.84,0.8693553771094032
Mortality,0.85,0.86870926721719
Mortality,0.86,0.8682328058718085
Mortality,0.87,0.8673517132064065
Mortality,0.88,0.8665653567253128
Mortality,0.89,0.8646031360474843
Mortality,0.9,0.8639992007650816
Mortality,0.91,0.8636144171056712
Mortality,0.92,0.8627841079938242
Mortality,0.93,0.8619891038997284
Mortality,0.94,0.8614349023194351
Mortality,0.95,0.8600722469144818
Mortality,0.96,0.859406741014455
Mortality,0.97,0.8575080176076703
Mortality,0.98,0.8572968755357786
Mortality,0.99,0.8556503350326775
Mortality,1.0,0.8554850654142803
